study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Refrence,Primed_NonPrimed,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,test_textbox.stopped,text.stopped,testmouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
pastry,0,0,0,1,2.2852383,,,,,,,,,,,,0,0,0,9,,,,,0.0499571,,0.0346905,0.0499571,0.0499571,2.3350447,1,2.2852383,,,,,,,,,,,,,,,,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
cushion,1,1,0,1,1.2301719,,,,,,,,,,,,0,1,1,1,,,,,2.3500336,,2.3395172,2.3500336,2.3500336,3.5850619,1,1.2301719,,,,,,,,,,,,,,,,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
laptop ,2,2,0,1,1.6983543,,,,,,,,,,,,0,2,2,5,,,,,3.6010573,,3.5891599,3.6010573,3.6010573,5.3013164,1,1.6983543,,,,,,,,,,,,,,,,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
chart,3,3,0,1,1.3957541,,,,,,,,,,,,0,3,3,6,,,,,5.3168951,,5.3058096,5.3168951,5.3168951,6.7175695,1,1.3957541,,,,,,,,,,,,,,,,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
board,4,4,0,1,1.4471652,,,,,,,,,,,,0,4,4,4,,,,,6.7331826,,6.7216177,6.7331826,6.7331826,8.1850922,1,1.4471652,,,,,,,,,,,,,,,,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
case,5,5,0,1,1.1280795,,,,,,,,,,,,0,5,5,10,,,,,8.2012547,,8.1908328,8.2012547,8.2012547,9.3353054,1,1.1280795,,,,,,,,,,,,,,,,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
poster,6,6,0,4.953125,2.0639686,,,,,,,,,,,,0,6,6,14,,,,,9.3497858,,9.3379208,9.3497858,9.3497858,11.4173074,4.953125,2.0639686,,,,,,,,,,,,,,,,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
mouse,7,7,0,1.40625,1.6317902,,,,,,,,,,,,0,7,7,8,,,,,11.4329354,,11.4195056,11.4329354,11.4329354,13.067181,1.40625,1.6317902,,,,,,,,,,,,,,,,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
police,8,8,0,1.411458333,1.4656382,,,,,,,,,,,,0,8,8,12,,,,,13.0829698,,13.0695214,13.0829698,13.0829698,14.5505376,1.411458333,1.4656382,,,,,,,,,,,,,,,,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
phone,9,9,0,1.390625,1.4984826,,,,,,,,,,,,0,9,9,2,,,,,14.5661584,,14.5527797,14.5661584,14.5661584,16.0670914,1.390625,1.4984826,,,,,,,,,,,,,,,,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
keys,10,10,0,4.8125,2.1497667,,,,,,,,,,,,0,10,10,13,,,,,16.0827046,,16.0691889,16.0827046,16.0827046,18.2339678,4.8125,2.1497667,,,,,,,,,,,,,,,,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
t-shirt,11,11,0,1.583333333,1.5278945,,,,,,,,,,,,0,11,11,7,,,,,18.2493032,,18.2395166,18.2493032,18.2493032,19.7843666,1.583333333,1.5278945,,,,,,,,,,,,,,,,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
marble,12,12,0,4.895833333,2.7791792,,,,,,,,,,,,0,12,12,3,,,,,19.7992613,,19.7884358,19.7992613,19.7992613,22.5840067,4.895833333,2.7791792,,,,,,,,,,,,,,,,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
book,13,13,0,1,1.8475831,,,,,,,,,,,,0,13,13,0,,,,,22.599098,,22.5867317,22.599098,22.599098,24.4502929,1,1.8475831,,,,,,,,,,,,,,,,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
cruise,14,14,0,1,0.8319566,,,,,,,,,,,,0,14,14,11,,,,,24.4657177,,24.452548,24.4657177,24.4657177,25.2999995,1,0.8319566,,,,,,,,,,,,,,,,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
,0,0,0,,,bo_t_e,bottle,non-primed,bottle,[-0.1171875],[-0.2890625],[1],[0],[0],[5.820890199999894],['text'],,,,,0,0,0,18,25.3312605,,,,,,,,25.3121988,25.3312605,25.3312605,25.3312605,0.0121865,31.1338705,bottle,[-0.1171875],[-0.2890625],[1],[0],[0],[5.820890199999894],['text'],,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
,1,1,0,,,_o_rd,board,primed,word,[-0.09505208333333333],[-0.2994791666666667],[1],[0],[0],[7.428525300000047],['text'],,,,,0,1,1,10,31.1488108,,,,,,,,31.1372114,31.1488108,31.1488108,31.1488108,0.003075,38.5663793,word,[-0.09505208333333333],[-0.2994791666666667],[1],[0],[0],[7.428525300000047],['text'],,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
,2,2,0,,,l_pt_p,laptop,primed,laptop,[-0.09505208333333333],[-0.3072916666666667],[1],[0],[0],[6.730729200000042],['text'],,,,,0,2,2,0,38.5816442,,,,,,,,38.5686946,38.5816442,38.5816442,38.5816442,0.0021819,45.3003432,laptop,[-0.09505208333333333],[-0.3072916666666667],[1],[0],[0],[6.730729200000042],['text'],,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
,3,3,0,,,_a_ble_,marble,primed,marble,[-0.09505208333333333],[-0.3072916666666667],[1],[0],[0],[4.379142300000012],['text'],,,,,0,3,3,11,45.3146561,,,,,,,,45.3028711,45.3146561,45.3146561,45.3146561,0.0023935,49.6826728,marble,[-0.09505208333333333],[-0.3072916666666667],[1],[0],[0],[4.379142300000012],['text'],,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
,4,4,0,,,t_hi_t,tshirt,primed,tshirt,[-0.09505208333333333],[-0.3072916666666667],[1],[0],[0],[5.312843900000189],['text'],,,,,0,4,4,2,49.6978002,,,,,,,,49.6854328,49.6978002,49.6978002,49.6978002,0.0026098,54.9988352,tshirt,[-0.09505208333333333],[-0.3072916666666667],[1],[0],[0],[5.312843900000189],['text'],,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
,5,5,0,,,_ho_e,phone,primed,,[],[],[],[],[],[],[],,,,,0,5,5,12,55.0142566,,,,,,,,55.0013375,55.0142566,55.0142566,55.0142566,0.0024234,64.9982116,,[],[],[],[],[],[],[],65.0136836,65.0136836,65.0136836,9.9983803,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
,6,6,0,,,c_s_,case,primed,case,[-0.09505208333333333],[-0.3072916666666667],[1],[0],[0],[4.544864800000141],['text'],,,,,0,6,6,5,65.0136836,,,,,,,,65.0021886,65.0136836,65.0136836,65.0136836,0.0033259,69.5477493,case,[-0.09505208333333333],[-0.3072916666666667],[1],[0],[0],[4.544864800000141],['text'],,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
,7,7,0,,,_ru_is_,cruise,primed,cruise,[],[],[],[],[],[],[],,,,,0,7,7,6,69.5635164,,,,,,,,69.5499174,69.5635164,69.5635164,69.5635164,0.0021059,79.5470126,cruise,[],[],[],[],[],[],[],79.5629885,79.5629885,79.5629885,9.998597,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
,8,8,0,,,p_nc_l,pencil,non-primed,pencil,[-0.09505208333333333],[-0.3072916666666667],[1],[0],[0],[3.5472809000000325],['text'],,,,,0,8,8,16,79.5629885,,,,,,,,79.5490967,79.5629885,79.5629885,79.5629885,0.0012715,83.0969591,pencil,[-0.09505208333333333],[-0.3072916666666667],[1],[0],[0],[3.5472809000000325],['text'],,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
,9,9,0,,,p_st_r,poster,primed,pastry,[-0.09505208333333333],[-0.3072916666666667],[1],[0],[0],[3.0641749999999774],['text'],,,,,0,9,9,9,83.1128602,,,,,,,,83.0990575,83.1128602,83.1128602,83.1128602,0.0020181,86.1641472,pastry,[-0.09505208333333333],[-0.3072916666666667],[1],[0],[0],[3.0641749999999774],['text'],,,,,137728,1,2024-11-05_10h54.47.592,Word Priming Experiment,2024.2.3,60.08875109,2024-11-05 10h54.58.634887 +0530
